movie_code,movie_name,time,year,nation,director,company,grade,genre1,genre2,genre3,actor1,actor2,actor3
20030410,실미도,135,20031224,한국,강우석,(주)시네마서비스,15세관람가,전쟁,,,설경구,안성기,허준호
20030316,반지의 제왕 : 왕의 귀환,262,20031217,미국,피터 잭슨,씨제이엔터테인먼트,12세관람가,판타지,어드벤처,,비고 모텐슨,일라이저 우드,리브 타일러
20030420,동해물과 백두산이,104,20031231,한국,안진우,(주)영화사샘,15세관람가,코미디,,,정준호,공형진,류현경
20030404,러브 액츄얼리,130,20031205,미국,리차드 커티스,(주)제이앤씨미디어그룹,15세관람가,멜로/로맨스,드라마,코미디,휴 그랜트,콜린 퍼스,알란 릭맨
20030426,더 캣,85,20031231,미국,보 웰치,씨제이엔터테인먼트,전체관람가,판타지,어드벤처,,마이크 마이어스,알렉 볼드윈,
20030350,올드보이,120,20031121,한국,박찬욱,(주)에그필름,18세관람가,스릴러,,,최민식,유지태,강혜정
20030408,해피 에로 크리스마스,110,20031217,한국,이건동,(주)튜브엔터테인먼트,15세관람가,드라마,,,김선아,차태현,박영규
20040481,어린 신부,114,20040402,한국,김호준,(주)컬처캡미디어,12세관람가,코미디,,,김래원,김보경,안선영
20040525,패션 오브 크라이스트,126,20040402,미국,멜 깁슨,아이콘프로덕션,15세관람가,드라마,,,제임스 카비젤,모니카 벨루치,마이아 모겐스턴
20040482,맹부삼천지교,117,20040326,한국,김지영,코리아 엔터테인먼트,15세관람가,코미디,,,손창민,조재현,소이현
20030371,태극기 휘날리며,148,20040205,한국,강제규,강제규필름,15세관람가,전쟁,드라마,,장동건,원빈,이은주
20040486,마지막 늑대,97,20040401,한국,구자홍,제네시스픽쳐스(주),15세관람가,코미디,,,황정민,양동근,김경란
20040496,아홉살 인생,105,20040326,한국,윤인호,(주)황기성 사단,전체관람가,드라마,,,김석,최성,이세영
20040522,폴리와 함께,89,20040402,미국,존 햄버그,UIP코리아,15세관람가,멜로/로맨스,,,제니퍼 애니스턴,벤 스틸러,필립 세이모어 호프만
20040528,고티카,95,20040402,미국,마티유 카소비츠,다크 캐슬 엔터테인먼트,15세관람가,공포(호러),,,할리 베리,로버트 다우니 주니어,페넬로페 크루즈
20040471,어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,108,20040312,한국,강석범,㈜제니스엔터테인먼트,12세관람가,코미디,,,김주혁,엄정화,김가연
20040506,허니,94,20040326,미국,빌 우드러프,유니버셜 픽쳐스,15세관람가,드라마,,,릴 로메오,제시카 알바,메키 파이퍼
20040491,스파이더맨 2,126,20040630,미국,샘 레이미,콜럼비아트라이스타,12세관람가,SF,,,토비 맥과이어,커스틴 던스트,
20040566,슈렉2,92,20040618,미국,캘리 애스버리,드림웍스픽쳐스,전체관람가,애니메이션,,,마이크 마이어스,카메론 디아즈,에디 머피
20040515,인어 공주,110,20040630,한국,박흥식,나우필름(주),전체관람가,드라마,,,전도연,박해일,고두심
20040583,아는 여자,107,20040625,한국,장진,필름있수다,15세관람가,드라마,,,이나영,정재영,이민정
20040490,투모로우,123,20040603,미국,롤랜드 에머리히,센트로폴리스 엔터테인먼트,12세관람가,SF,,,데니스 퀘이드,제이크 질렌할,이안 홈
20040571,령,98,20040617,한국,김태경,㈜팝콘필름,12세관람가,공포(호러),,,김하늘,신이,류진
20040559,나두야 간다,105,20040625,한국,정연원,화이트리시네마,15세관람가,코미디,,,권용운,안관수,손창민
20040555,트로이,136,20040521,미국,볼프강 페터젠,플랜 비 엔터테인먼트,15세관람가,사극,,,다이앤 크루거,올랜도 블룸,에릭 바나
20040579,블러디 선데이,110,20040618,영국,폴 그린그래스,보드스캐넌에이린,12세관람가,드라마,,,팀 피곳 스미스,제임스 네스빗,
20040568,내 여자친구를 소개합니다,118,20040603,한국,곽재용,(주)아이필름홀딩스,15세관람가,멜로/로맨스,드라마,,전지현,장혁,김정태
20040649,귀신이 산다,123,20040917,한국,김상진,(주)시네마서비스,12세관람가,코미디,공포(호러),판타지,김응수,장서희,차승원
20040651,꽃피는 봄이 오면,128,20040923,한국,류장하,(주)씨즈엔터테인먼트,12세관람가,드라마,,,최민식,장신영,김호정
20040554,가족,95,20040903,한국,이정철,튜브픽쳐스(주),15세관람가,드라마,,,수애,주현,박지빈
20040619,슈퍼스타 감사용,115,20040917,한국,김종현,(주)싸이더스,전체관람가,드라마,,,이범수,공유,윤진서
20040650,빌리지,108,20040924,미국,M. 나이트 샤말란,터치스톤 픽처스,12세관람가,공포(호러),,,호아킨 피닉스,브라이스 달라스 하워드,
20040670,맨 온 파이어,147,20040924,미국,토니 스콧,폭스2000픽처스,15세관람가,액션,,,덴젤 워싱턴,다코타 패닝,
20040642,80일간의 세계 일주,90,20040917,미국,프랑코 코라시,(주)쇼박스,,코미디,드라마,어드벤처,성룡,세실 드 프랑스,
20040640,연인,119,20040910,중국,장예모,에드코필름,12세관람가,멜로/로맨스,액션,,금성무,유덕화,장쯔이
20040676,스텝포드 와이프,93,20041001,미국,프랭크 오즈,스캇 루딘 프로덕션,15세관람가,코미디,,,니콜 키드먼,매튜 브로데릭,베트 미들러
20040669,캣우먼,105,20040924,미국,피토프,워너브러더스사㈜,12세관람가,액션,,,할리 베리,벤자민 브랫,
20040706,알렉산더,175,20041231,미국,올리버 스톤,워너브러더스사㈜,15세관람가,전쟁,드라마,,콜린 파렐,안젤리나 졸리,발 킬머
20040756,하울의 움직이는 성,119,20041223,일본,미야자키 하야오,지브리 스튜디오,전체관람가,애니메이션,,,바이쇼 치에코,기무라 다쿠야,
20040755,내셔널 트레져,130,20041231,미국,존 터틀타웁,터치스톤 픽처스,12세관람가,액션,,,다이앤 크루거,니콜라스 케이지,
20040750,신석기 블루스,110,20041230,한국,김도혁,㈜팝콘필름,15세관람가,코미디,,,김현주,이종혁,이민아
20040745,인크레더블,115,20041215,미국,브래드 버드,월트 디즈니 픽쳐스,전체관람가,애니메이션,,,홀리 헌터,크레이그 T. 넬슨,사무엘 L. 잭슨
20040721,오페라의 유령,141,20041208,미국,조엘 슈마허,워너 브러더스 픽쳐스,12세관람가,뮤지컬,드라마,,제라드 버틀러,에미 로섬,패트릭 윌슨
20040748,폴라 익스프레스,100,20041223,미국,로버트 저메키스,캐슬 락 엔터테인먼트,전체관람가,애니메이션,,,톰 행크스,노나 M. 게이,
20040682,역도산,137,20041215,한국,송해성,(주)싸이더스,12세관람가,드라마,,,설경구,이명수,유병훈
20040743,브리짓 존스의 일기2 : 열정과 애정,107,20041208,영국,비번 키드론,워킹 타이틀 필름,15세관람가,멜로/로맨스,드라마,,르네 젤위거,휴 그랜트,린 콜린스
20040717,블레이드 3,112,20041215,미국,데이빗 S. 고이어,뉴라인 시네마,18세관람가,액션,,,웨슬리 스나입스,라이언 레이놀즈,
20050049,주먹이 운다(Crying Fist),134,20050401,한국,류승완,(주)브라보엔터테인먼트,15세관람가,드라마,,,최민식,류승범,임원희
20050017,달콤한 인생,120,20050401,한국,김지운,(주)영화사봄,18세관람가,액션,,,이병헌,김영철,신민아
20040778,마파도,107,20050310,한국,추창민,코리아 엔터테인먼트,15세관람가,코미디,,,김수미,여운계,이정진
20050013,잠복근무,111,20050317,한국,박광춘,(주)마인엔터테인먼트 ,15세관람가,코미디,액션,,김원진,공유,김선아
20050048,미스 에이전트2 : 라스베가스 잠입사건,115,20050401,미국,존 파스킨,캐슬 락 엔터테인먼트,12세관람가,액션,코미디,,산드라 블록,레지나 킹,디트리히 베이더
20050028,밀리언 달러 베이비,132,20050310,미국,클린트 이스트우드,워너 브러더스 픽쳐스,12세이상관람가,드라마,,,힐러리 스웽크,클린트 이스트우드,
