movie_name,time,year,nation,director,company,grade,genres,actors,poster_url,link_url,user_rating
아바타,161,20091217,미국,제임스 카메론,이십세기폭스필름코퍼레이션,12세이상관람가,"['SF', '액션', '어드벤처']","['샘 워싱턴', '조 샐다나', '시고니 위버']",,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164121,9.63
전우치,136,20091223,한국,최동훈,영화사 집,12세이상관람가,"['액션', '코미디', '판타지']","['강동원', '임수정', '김윤석']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1588/158852_P01_130121.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=158852,10.00
셜록 홈즈,128,20091223,미국,가이 리치,워너브러더스 코리아(주),12세이상관람가,"['미스터리', '범죄', '어드벤처']","['로버트 다우니 주니어', '주드 로']",,https://movie.naver.com/movie/bi/mi/basic.nhn?code=109168,9.49
나인,118,20091231,미국,롭 마샬,(주)시너지하우스 (시너지),15세이상관람가,"['멜로/로맨스', '뮤지컬']","['다니엘 데이 루이스', '마리옹 꼬띠아르', '페넬로페 크루즈']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1725/172551_P01_174535.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=172551,7.63
앨빈과 슈퍼밴드2,88,20091230,미국,베티 토머스,이십세기폭스코리아(주),전체관람가,"['가족', '코미디', '드라마']","['저스틴 롱', '매튜 그레이 구블러', '제이슨 리']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0706/70637_P31_183105.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=70637,8.88
포켓 몬스터 DP: 아르세우스 초극의 시공으로,95,20091224,일본,유야마 쿠니히코,실버스푼,전체관람가,"['애니메이션', '어드벤처', '판타지']",['오오타니 이쿠에'],https://ssl.pstatic.net/imgmovie/mdi/mit110/0701/70118_P00_153350.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=70118,8.52
파르나서스 박사의 상상극장,122,20091223,미국,테리 길리엄,데이비스 필름,12세이상관람가,"['판타지', '어드벤처', '미스터리']","['조니 뎁', '히스 레저', '콜린 파렐']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0473/47381_P00_095520.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=47381,5.86
러브 매니지먼트,93,20091231,미국,스티븐 벨버,(주)싸이더스,15세이상관람가,"['멜로/로맨스', '코미디']","['제니퍼 애니스턴', '스티브 잔']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0530/53021_P34_132112.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=53021,6.39
2012,157,20091112,미국,롤랜드 에머리히,센트로폴리스 엔터테인먼트,12세이상관람가,"['SF', '액션', '어드벤처']","['존 쿠삭', '아만다 피트', '올리버 플랫']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1645/164545_P01_152734.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164545,0.00
위대한 침묵,168,20091203,독일,필립 그로닝,(주)영화사 진진,전체관람가,['다큐멘터리'],[],https://ssl.pstatic.net/imgmovie/mdi/mit110/0586/58666_P13_103019.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=58666,7.94
