movie_name,time,year,nation,director,company,grade,genres,actors,poster_url,link_url,user_rating
실미도,135,20031224,한국,강우석,(주)시네마서비스,15세관람가,['전쟁'],"['설경구', '안성기', '허준호', '정재영', '임원희', '강성진', '강신일', '이도겸', '엄태웅', '김강우', '이효정', '석재승', '김문희', '신성호', '최진', '심정운', '박진수', '주경탁', '백성기', '김봉식', '최명규', '전병윤', '유상섭', '이성원', '임경호', '김진휘', '윤효석', '이경근', '조민준']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0345/C4501-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=34501,8.55
반지의 제왕 : 왕의 귀환,262,20031217,미국,피터 잭슨,씨제이엔터테인먼트,12세관람가,"['판타지', '어드벤처']","['비고 모텐슨', '일라이저 우드', '리브 타일러', '칼 어번', '이안 맥켈런']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0317/31796_P74_101438.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=31796,9.36
동해물과 백두산이,104,20031231,한국,안진우,(주)영화사샘,15세관람가,['코미디'],"['정준호', '공형진', '류현경', '박정우', '김유신', '문성현', '박상욱', '윤지영', '정지영', '양지은', '이혜미', '신현탁', '정경순', '김광규', '오지혜', '한재영']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0372/C7246-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37246,6.48
러브 액츄얼리,130,20031205,미국,리차드 커티스,(주)제이앤씨미디어그룹,15세관람가,"['멜로/로맨스', '드라마', '코미디']","['휴 그랜트', '콜린 퍼스', '알란 릭맨', '엠마 톰슨', '리암 니슨', '로라 린니', '키이라 나이틀리', '마틴 맥커천', '빌 나이']",,https://movie.naver.com/movie/bi/mi/basic.nhn?code=113221,0.00
더 캣,85,20031231,미국,보 웰치,씨제이엔터테인먼트,전체관람가,"['판타지', '어드벤처']","['마이크 마이어스', '알렉 볼드윈']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1850/185076_P01_142616.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=185076,0.00
올드보이,120,20031121,한국,박찬욱,(주)에그필름,18세관람가,['스릴러'],"['최민식', '유지태', '강혜정', '김병옥', '오달수', '이승신', '윤진서', '지대한', '오태경', '유연석', '김원중', '박재용', '박지훈', '한정옥', '박근석', '곽정애', '임설아', '박성규', '오영주', '임승용', '최재섭', '이대연', '오광록', '김수현', '용이']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1686/168668_P11_144058.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168668,9.26
해피 에로 크리스마스,110,20031217,한국,이건동,(주)튜브엔터테인먼트,15세관람가,['드라마'],"['김선아', '차태현', '박영규', '김지영', '송윤희', '조미영', '홍성규', '조상렬', '신영운', '박윤미', '최창우', '김현두', '박창호', '김경란', '김동규', '고현용', '천승철', '김선용', '윤동원', '박성범', '최영두', '김형범', '정석용', '오태경', '손진호', '김중기', '박충선']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0372/C7266-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37266,3.05
어린 신부,114,20040402,한국,김호준,(주)컬처캡미디어,12세관람가,['코미디'],"['김래원', '김보경', '안선영', '문근영', '진경', '김혜옥', '김인문', '한진희', '송기윤', '선우은숙', '신세경', '최장헌', '박준석', '박진우', '유순일', '임관우', '장미희', '김용환', '류덕환', '전원주']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1822/182274_P01_172711.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182274,0.00
패션 오브 크라이스트,126,20040402,미국,멜 깁슨,아이콘프로덕션,15세관람가,['드라마'],"['제임스 카비젤', '모니카 벨루치', '마이아 모겐스턴']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0381/38197_P11_134959.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=38197,8.60
맹부삼천지교,117,20040326,한국,김지영,코리아 엔터테인먼트,15세관람가,['코미디'],"['손창민', '조재현', '소이현', '손현주', '김뢰하', '김홍석', '홍상석', '박종욱', '안갑용', '나상문', '김덕형', '유상범', '곽은미', '김택수', '유용현', '유지원', '인현주', '박송이', '최영주', '이영자', '오상민', '김용석', '이재웅', '정석용', '이인']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0377/C7738-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37738,5.28
태극기 휘날리며,148,20040205,한국,강제규,강제규필름,15세관람가,"['전쟁', '드라마']","['장동건', '원빈', '이은주', '조원희', '이장욱', '이영란', '정희준', '박유신', '김효열', '김효준', '최재혁', '이건우', '박태원', '배상철', '김범주', '한선랑', '이동혁', '한재민', '지중현', '김대영', '민지혁', '이호천', '임동빈', '김재중', '박성희', '임성택', '정승진', '이정훈', '오명준', '이기수', '김용현', '이주원', '이환희', '공형진', '장민호', '정호빈', '박길수', '박동빈', '안길강', '김해곤']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0366/C6666-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=36666,9.17
마지막 늑대,97,20040401,한국,구자홍,제네시스픽쳐스(주),15세관람가,['코미디'],"['황정민', '양동근', '김경란', '김현정', '오달수', '장항선', '신동호', '최가연', '이화룡', '최승호', '이혜영', '김준성', '김준하', '손호승', '황석정', '김기현', '유승목', '이봉규', '조희봉']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0374/C7408-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37408,5.43
아홉살 인생,105,20040326,한국,윤인호,(주)황기성 사단,전체관람가,['드라마'],"['김석', '최성', '이세영', '나아현', '김명재', '정선경', '안내상', '송수근', '송현석', '노현정', '이동혁', '김경수', '최덕문', '신정근', '지대한']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0377/C7759-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37759,9.09
폴리와 함께,89,20040402,미국,존 햄버그,UIP코리아,15세관람가,['멜로/로맨스'],"['제니퍼 애니스턴', '벤 스틸러', '필립 세이모어 호프만', '알렉 볼드윈']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0380/C8081-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=38081,7.76
고티카,95,20040402,미국,마티유 카소비츠,다크 캐슬 엔터테인먼트,15세관람가,['공포(호러)'],"['할리 베리', '로버트 다우니 주니어', '페넬로페 크루즈']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0378/C7839-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37839,6.86
어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,108,20040312,한국,강석범,㈜제니스엔터테인먼트,12세관람가,['코미디'],"['김주혁', '엄정화', '김가연', '기주봉', '손재곤', '김두찬', '김준성', '조성재', '조은희', '박지현', '이복희', '김영숙', '허기호', '노승범', '이주리', '강성필']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0377/C7716-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37716,8.02
허니,94,20040326,미국,빌 우드러프,유니버셜 픽쳐스,15세관람가,['드라마'],"['릴 로메오', '제시카 알바', '메키 파이퍼']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1820/182033_P01_133448.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182033,0.00
스파이더맨 2,126,20040630,미국,샘 레이미,콜럼비아트라이스타,12세관람가,['SF'],"['토비 맥과이어', '커스틴 던스트']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1731/173123_P03_110541.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=173123,9.31
슈렉2,92,20040618,미국,캘리 애스버리,드림웍스픽쳐스,전체관람가,['애니메이션'],"['마이크 마이어스', '카메론 디아즈', '에디 머피']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0345/C4519-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=34519,8.53
인어 공주,110,20040630,한국,박흥식,나우필름(주),전체관람가,['드라마'],"['전도연', '박해일', '고두심', '김봉근', '이선균', '김은영', '주진모', '조현숙', '송은주', '신수현', '홍지현', '박현두', '사소인', '강희정', '김일종', '김부선', '신동환']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1681/168134_P01_163244.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168134,7.50
아는 여자,107,20040625,한국,장진,필름있수다,15세관람가,['드라마'],"['이나영', '정재영', '이민정', '이상민', '조은정', '지상용', '이은석', '김준혁', '임하룡', '조덕현', '장영남', '이철민', '최일화']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0378/C7888-01.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37888,9.13
투모로우,123,20040603,미국,롤랜드 에머리히,센트로폴리스 엔터테인먼트,12세관람가,['SF'],"['데니스 퀘이드', '제이크 질렌할', '이안 홈']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1820/182054_P03_183955.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182054,0.00
령,98,20040617,한국,김태경,㈜팝콘필름,12세관람가,['공포(호러)'],"['김하늘', '신이', '류진', '남상미', '이윤지', '전혜빈', '김근영', '최은재', '김해숙', '기주봉']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1294/129405_P36_163514.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=129405,5.15
나두야 간다,105,20040625,한국,정연원,화이트리시네마,15세관람가,['코미디'],"['권용운', '안관수', '손창민', '정준호', '오유미', '정소영', '임동문', '신현탁', '서범식', '강성필', '서동수', '금보라', '장태성']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1445/144530_P01_154626.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=144530,10.00
트로이,136,20040521,미국,볼프강 페터젠,플랜 비 엔터테인먼트,15세관람가,['사극'],"['다이앤 크루거', '올랜도 블룸', '에릭 바나']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1810/181031_P01_150303.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181031,3.56
블러디 선데이,110,20040618,영국,폴 그린그래스,보드스캐넌에이린,12세관람가,['드라마'],"['팀 피곳 스미스', '제임스 네스빗']",,https://movie.naver.com/movie/bi/mi/basic.nhn?code=103214,0.00
내 여자친구를 소개합니다,118,20040603,한국,곽재용,(주)아이필름홀딩스,15세관람가,"['멜로/로맨스', '드라마']","['전지현', '장혁', '김정태', '정호빈', '오정세', '김창완', '김광규', '최주현', '정한철', '안수라', '배재일', '권영빈', '백경찬', '한지빈', '원태운', '장원식', '윤선희', '임종식', '이호경', '송윤희', '김희영', '안호완', '박윤희', '박윤희', '이기우', '정보름']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0373/C7397-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37397,6.29
귀신이 산다,123,20040917,한국,김상진,(주)시네마서비스,12세관람가,"['코미디', '공포(호러)', '판타지']","['김응수', '장서희', '차승원', '김서현', '최기웅', '유대현', '김성미', '태인호', '임상란', '장승현', '김정우', '김양진', '이종화', '박성웅', '장항선', '윤문식', '오정세', '황석정', '윤제문', '이도겸']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0382/C8254-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=38254,6.78
꽃피는 봄이 오면,128,20040923,한국,류장하,(주)씨즈엔터테인먼트,12세관람가,['드라마'],"['최민식', '장신영', '김호정', '김강우', '김동영', '이민아', '조명호', '최태규', '김기철', '김길웅', '이동진', '김경준', '박소윤', '김정석', '김영옥', '이재응', '이민아', '엄효섭', '최일화']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1346/134635_P00_161937.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=134635,10.00
가족,95,20040903,한국,이정철,튜브픽쳐스(주),15세관람가,['드라마'],"['수애', '주현', '박지빈', '박희순', '박상영', '정욱', '박상우', '오현수', '전국환']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1842/184255_P01_113000.png,https://movie.naver.com/movie/bi/mi/basic.nhn?code=184255,0.00
슈퍼스타 감사용,115,20040917,한국,김종현,(주)싸이더스,전체관람가,['드라마'],"['이범수', '공유', '윤진서', '하정우', '이명수', '이혁재', '송민규', '이대희', '정석원', '김상현', '최봉석', '이성덕', '김철용', '예민정', '이정준', '정준하', '장항선', '장소연', '이태성', '박효주', '조희봉', '박충선', '조원동', '류승수']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0379/C7929-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37929,9.04
빌리지,108,20040924,미국,M. 나이트 샤말란,터치스톤 픽처스,12세관람가,['공포(호러)'],"['호아킨 피닉스', '브라이스 달라스 하워드']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1849/184994_P01_143405.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=184994,0.00
맨 온 파이어,147,20040924,미국,토니 스콧,폭스2000픽처스,15세관람가,['액션'],"['덴젤 워싱턴', '다코타 패닝']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0385/C8574-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=38574,8.85
80일간의 세계 일주,90,20040917,미국,프랑코 코라시,(주)쇼박스,,"['코미디', '드라마', '어드벤처', '액션']","['성룡', '세실 드 프랑스']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0360/C6053-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=36053,7.17
연인,119,20040910,중국,장예모,에드코필름,12세관람가,"['멜로/로맨스', '액션']","['금성무', '유덕화', '장쯔이']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1807/180792_P00_180020.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180792,0.00
스텝포드 와이프,93,20041001,미국,프랭크 오즈,스캇 루딘 프로덕션,15세관람가,['코미디'],"['니콜 키드먼', '매튜 브로데릭', '베트 미들러', '글렌 클로즈']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0387/C8799-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=38799,7.37
캣우먼,105,20040924,미국,피토프,워너브러더스사㈜,12세관람가,['액션'],"['할리 베리', '벤자민 브랫']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0384/C8451-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=38451,5.51
알렉산더,175,20041231,미국,올리버 스톤,워너브러더스사㈜,15세관람가,"['전쟁', '드라마']","['콜린 파렐', '안젤리나 졸리', '발 킬머', '안소니 홉킨스']",,https://movie.naver.com/movie/bi/mi/basic.nhn?code=184070,0.00
하울의 움직이는 성,119,20041223,일본,미야자키 하야오,지브리 스튜디오,전체관람가,['애니메이션'],"['바이쇼 치에코', '기무라 다쿠야']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0396/39640_P32_175320.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=39640,9.10
내셔널 트레져,130,20041231,미국,존 터틀타웁,터치스톤 픽처스,12세관람가,['액션'],"['다이앤 크루거', '니콜라스 케이지']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1546/154629_P01_143549.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=154629,5.50
신석기 블루스,110,20041230,한국,김도혁,㈜팝콘필름,15세관람가,['코미디'],"['김현주', '이종혁', '이민아', '이성재', '남현', '허정규', '김인태', '박보영', '김지성', '최진호', '김창완', '옥지영', '이승호', '신이', '성기윤']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0389/C8923-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=38923,6.18
인크레더블,115,20041215,미국,브래드 버드,월트 디즈니 픽쳐스,전체관람가,['애니메이션'],"['홀리 헌터', '크레이그 T. 넬슨', '사무엘 L. 잭슨', '제이슨 리']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1369/136990_P27_140604.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=136990,9.23
오페라의 유령,141,20041208,미국,조엘 슈마허,워너 브러더스 픽쳐스,12세관람가,"['뮤지컬', '드라마']","['제라드 버틀러', '에미 로섬', '패트릭 윌슨', '미란다 리차드슨']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1559/155984_P01_151956.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=155984,0.00
폴라 익스프레스,100,20041223,미국,로버트 저메키스,캐슬 락 엔터테인먼트,전체관람가,['애니메이션'],"['톰 행크스', '노나 M. 게이']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0388/C8882-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=38882,8.77
역도산,137,20041215,한국,송해성,(주)싸이더스,12세관람가,['드라마'],"['설경구', '이명수', '유병훈']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0385/C8510-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=38510,6.39
브리짓 존스의 일기2 : 열정과 애정,107,20041208,영국,비번 키드론,워킹 타이틀 필름,15세관람가,"['멜로/로맨스', '드라마']","['르네 젤위거', '휴 그랜트', '린 콜린스']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0389/C8906-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=38906,8.21
블레이드 3,112,20041215,미국,데이빗 S. 고이어,뉴라인 시네마,18세관람가,['액션'],"['웨슬리 스나입스', '라이언 레이놀즈']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1074/107454_P01_110533.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=107454,7.00
주먹이 운다(Crying Fist),134,20050401,한국,류승완,(주)브라보엔터테인먼트,15세관람가,['드라마'],"['최민식', '류승범', '임원희', '변희봉', '나문희', '기주봉', '오달수', '심재원', '권용덕', '서혜린(정희숙)', '정민혁', '김영인', '이윤선', '이정현', '김병옥', '안길강', '천호진', '류성훈', '이원석', '박대희', '김지훈', '김수현', '이태준', '김효정', '김효선', '황재근', '양민석', '이도겸', '박준면']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0393/C9399-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=39399,8.88
달콤한 인생,120,20050401,한국,김지운,(주)영화사봄,18세관람가,['액션'],"['이병헌', '김영철', '신민아', '김뢰하', '이기영', '오달수', '진구', '정유미', '허명행', '손정민', '김효현', '양강연', '홍은미', '박종민', '서정희', '윤정섭', '윤진율', '정원경', '박성규', '박성균', '오유진', '전혜민', '이안규', '오유진', '박진우', '하용진', '전국환', '김해곤', '황정민', '문정혁', '곽민호', '이승호', '이한솔']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1586/158681_P01_115800.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=158681,0.00
마파도,107,20050310,한국,추창민,코리아 엔터테인먼트,15세관람가,['코미디'],"['김수미', '여운계', '이정진', '이문식', '오달수', '유해진', '홍성훈', '최주현', '김보리', '유인수', '김종보', '이종윤', '서영희', '정은표', '길해연', '정대용', '김상호', '김정영']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0625/F2566-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=62566,6.08
잠복근무,111,20050317,한국,박광춘,(주)마인엔터테인먼트 ,15세관람가,"['코미디', '액션']","['김원진', '공유', '김선아', '하정우', '이범수', '남상미', '강경희', '김회근', '신경하', '김명조', '홍수아', '박우규', '김현진', '황의천', '나상문', '남경화', '조한영', '진수애', '김덕겸', '최미진', '장지영', '박상현', '윤지원', '정은미', '양은성', '김종명', '안형준', '김지숙', '김지우', '김상호', '박상면', '김선영', '정만식']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0729/72959_P00_102500.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=72959,6.42
미스 에이전트2 : 라스베가스 잠입사건,115,20050401,미국,존 파스킨,캐슬 락 엔터테인먼트,12세관람가,"['액션', '코미디']","['산드라 블록', '레지나 킹', '디트리히 베이더']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0400/D0064-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=40064,6.72
밀리언 달러 베이비,132,20050310,미국,클린트 이스트우드,워너 브러더스 픽쳐스,12세이상관람가,['드라마'],"['힐러리 스웽크', '클린트 이스트우드']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0398/39809_P40_135055.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=39809,8.98
"지금, 만나러 갑니다",118,20050325,일본,도이 노부히로,도호쿠신샤,12세관람가,"['드라마', '멜로/로맨스', '판타지']","['다케우치 유코', '나카무라 시도']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1682/168298_P26_135156.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168298,8.72
유희왕,86,20100128,일본,츠지 하츠키,포키즈엔터테인먼트,전체관람가,"['애니메이션', '액션', '어드벤처']","['마이크 폴락', '웨인 그레이슨', '에릭 스튜어트', '카자마  슌스케', '구자형']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1501/150117_P11_103027.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=150117,8.90
Mr.히치: 당신을 위한 데이트 코치,118,20050311,미국,앤디 테넌트,오버브룩 엔터테인먼트,12세관람가,"['멜로/로맨스', '코미디']","['윌 스미스', '에바 멘데스']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0400/D0034-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=40034,8.34
호스티지,113,20050318,미국,플로렝 에밀리오 시리,미라맥스 필름즈,15세관람가,['스릴러'],"['케빈 폴락', '브루스 윌리스']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1565/156597_P01_121454.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=156597,0.00
미스터 & 미세스 스미스,120,20050616,미국,더그 라이만,뉴리전시 픽쳐스,15세관람가,"['멜로/로맨스', '액션', '어드벤처', '스릴러']","['안젤리나 졸리', '브래드 피트', '빈스 본']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1832/183202_P01_175623.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183202,0.00
분홍신,103,20050630,한국,김용균,청년필름(주),15세관람가,['공포(호러)'],"['김혜수', '김성수', '박연아', '송보경', '박지은', '박선혜', '최윤영', '윤혜정', '이대현', '김용화', '고수희', '이얼', '조덕제', '박현영', '이용녀']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1442/144295_P00_155741.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=144295,0.00
배트맨 비긴즈,134,20050624,미국,크리스토퍼 놀란,워너 브러더스 픽쳐스,12세관람가,"['범죄', '액션', '판타지']","['리암 니슨', '크리스찬 베일', '마이클 케인']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0625/62586_P141_104552.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=62586,9.33
씬 시티,125,20050630,미국,프랭크 밀러,디멘션 필름즈,18세관람가,"['범죄', '스릴러', '액션']","['미키 루크', '제시카 알바', '브루스 윌리스']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0457/45715_P22_151433.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=45715,6.71
셔터,97,20050630,태국,팍품 웡품,GMM픽처스,15세관람가,['공포(호러)'],"['나타웨라누크 통미', '아난다 에버링엄']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1796/179674_P01_111627.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=179674,0.00
연애의 목적,121,20050610,한국,한재림,(주)싸이더스,18세관람가,"['드라마', '코미디', '멜로/로맨스']","['강혜정', '박해일', '이대연', '박그리나', '이현정', '박준명', '박혜영', '김기형', '장준영', '이은숙', '박진우', '서영화']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0398/C9863-01.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=39863,8.15
사하라,127,20050624,미국,브렉 에이즈너,브리스톨베이프로덕션즈,12세관람가,"['액션', '어드벤처']","['페넬로페 크루즈', '매튜 매커너히', '매튜 매커너히']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1596/159669_P01_112034.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=159669,9.00
간 큰 가족,102,20050609,한국,조명남,(주)두사부필름,12세관람가,['코미디'],"['감우성', '김수미', '김수로', '김도연', '조용희', '김기철', '김길라', '정현우', '유장식', '최성용', '김영희', '김용완', '성지루', '전국환', '신이', '박충선', '김태곤', '이칸희']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0396/C9675-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=39675,6.86
아미티빌 호러,89,20050701,미국,앤드류 더글라스,디멘션 필름즈,15세관람가,['공포(호러)'],"['멜리사 조지', '라이언 레이놀즈']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1032/103237_P01_141350.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=103237,8.50
에로스,108,20050630,미국,왕가위,판당고,18세관람가,"['드라마', '멜로/로맨스']","['공리', '장첸', '로버트 다우니 주니어', '알란 아킨']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1811/181130_P01_162929.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181130,0.00
